key,row,column,color,notes,list,sup,ver,king,scripture,sup_l,sub_l,sup_r,sub_r
Tamar,326,12.5,red,,46,0,3,FALSE,Genesis 38:6,,,,
Perez,340,14.3,blue,from Tamar and Judah,47,0,1,FALSE,Genesis 38:29,,,,
Manasseh,340,25.1,blue,,48,0,1,FALSE,,,,,
Ephraim,340,26.9,blue,,49,0,1,FALSE,,,,,
Hezron,354,14.3,blue,,50,0,1,FALSE,,,,,
Ram_Arni,368,14.3,blue,"Matthew Ram, Luke Arni",51,0,1,FALSE,,,,,
Amminadab,382,14.3,blue,,52,0,1,FALSE,,,,,
Nahshon,396,14.3,blue,,53,0,1,FALSE,,,,,
Salma_Salmon,410,14.3,blue,with Rahab (Matthew),54,0,1,FALSE,,,,,
Rahab,410,17,red,,55,0,4,FALSE,,,,,
Boaz,424,14.3,blue,with Ruth (Matthew),56,0,1,FALSE,,,,,
Ruth,424,17,red,,57,0,4,FALSE,,,,,
Obed,438,14.3,blue,,58,0,1,FALSE,,,,,
Jesse,452,14.3,blue,,59,0,1,FALSE,,,,,
David,466,14.3,blue,with Bathsheba,60,0,1,TRUE,,,,,
Bathsheba,466,16,red,,61,0,1,FALSE,,,,,
Nathan,480,12.3,blue,natural through Mary (Luke),62,0,1,FALSE,,,,,
Solomon,480,16.3,blue,legal line w/ Joseph (Matthew),63,0,1,TRUE,,,,,
Naamah,480,19.3,red,"wife of Solomon, Ammonitess",64,0,3,FALSE,1 Kings 14:21,,,,
