key,text,english,notes,verse,tag,checked,date,checked_by
Amos,Aʹmos,Amos,,Luke 3:25,bible,TRUE,2026-06-06,Matthias
Mattathias,Mat·ta·thiʹas,Mattathias,,Luke 3:25,bible,TRUE,2026-06-06,Matthias
Joseph3,Joseph,Joseph,,Luke 3:24,bible,TRUE,2026-06-06,Matthias
Jannai,Janʹna·i,Jannai,,Luke 3:24,bible,TRUE,2026-06-06,Matthias
Melchi,Melʹchi,Melchi,,Luke 3:24,bible,TRUE,2026-06-06,Matthias
Levi,Leʹvi,Levi,,Luke 3:24,bible,TRUE,2026-06-06,Matthias
Matthat,Matʹthat,Matthat,,Luke 3:24,bible,TRUE,2026-06-06,Matthias
Heli,Heʹli,Heli,,Luke 3:23,bible,TRUE,2026-06-06,Matthias
Joseph,Joseph,Joseph,son of Rachel,Genesis 35:24,bible,TRUE,2026-06-06,Matthias
Joseph2,Joseph,Joseph,son of Jonam,Luke 3:30,bible,TRUE,2026-06-06,Matthias
Joseph3,Joseph,Joseph,son of Mattathias,Luke 3:24,bible,TRUE,2026-06-06,Matthias
Joseph4,Joseph,Joseph,"son of Jacob, stepfather of Jesus",Luke 3:23,bible,TRUE,2026-06-06,Matthias
Jesus,Jesus,Jesus,Christ,Matthew 1:16,bible,TRUE,2026-06-06,Matthias
Jesus2,Jesus,Jesus,son of Eliezer,Luke 3:29,bible,TRUE,2026-06-06,Matthias
Mary,Mary,Mary,Luke states Joseph here,Luke 3:23,bible,TRUE,2026-06-06,Matthias
Solomon,Solʹo·mon,Solomon,legal line w/ Joseph (Matthew),Matthew 1:6,bible,TRUE,2026-06-06,Matthias
Rehoboam,Re·ho·boʹam,Rehoboam,,Matthew 1:7,bible,TRUE,2026-06-06,Matthias
Abijah,A·biʹjah,Abijah,,Matthew 1:7,bible,TRUE,2026-06-06,Matthias
Asa,Aʹsa,Asa,,Matthew 1:8,bible,TRUE,2026-06-06,Matthias
Jehoshaphat,Je·hoshʹa·phat,Jehoshaphat,,Matthew 1:8,bible,TRUE,2026-06-06,Matthias
Jehoram,Je·hoʹram,Jehoram,,Matthew 1:8,bible,TRUE,2026-06-06,Matthias
Ahaziah,A·ha·ziʹah ,Ahaziah,"missing in Matthew, Ahaziah #2",1 Kings 22:51,bible,TRUE,2026-06-06,Matthias
Jehoash,Je·hoʹash,Jehoash,"missing in Matthew, Jehoash #1",2 Kings 12:1,bible,TRUE,2026-06-06,Matthias
Amaziah,Am·a·ziʹah,Amaziah,"missing in Matthew, Amayiah #2",2 Kings 14:1,bible,TRUE,2026-06-06,Matthias
Uzziah_Azariah,Uz·ziʹah (Azariah),Uzziah (Azariah),,Matthew 1:9,bible,TRUE,2026-06-06,Matthias
Jotham,Joʹtham,Jotham,,Matthew 1:9,bible,TRUE,2026-06-06,Matthias
Ahaz,Aʹhaz,Ahaz,,Matthew 1:9,bible,TRUE,2026-06-06,Matthias
Hezekiah,Hez·e·kiʹah,Hezekiah,,Matthew 1:9,bible,TRUE,2026-06-06,Matthias
Manasseh,Ma·nasʹseh,Manasseh,"son of Joseph, #1",Genesis 41:51,bible,TRUE,2026-06-06,Matthias
Manasseh2,Ma·nasʹseh,Manasseh,"son of Hezekiah, #4",Matthew 1:10,bible,TRUE,2026-06-06,Matthias
Amon,Aʹmon,Amon,,Matthew 1:10,bible,TRUE,2026-06-06,Matthias
Josiah,Jo·siʹah,Josiah,,Matthew 1:10,bible,TRUE,2026-06-06,Matthias
Eliakim_Jehoiakim,E·liʹa·kim (Je·hoiʹa·kim),Eliakim (Jehoiakim),"626-618, missing in Matthew, #2",2 Kings 23:34,bible,TRUE,2026-06-06,Matthias
Jeconiah_Jehoiachin,Jec·o·niʹah (Je·hoiʹa·chin),Jeconiah (Jehoiachin),,Matthew 1:11,bible,TRUE,2026-06-06,Matthias
Shealtiel,She·alʹti·el,Shealtiel,,Matthew 1:12,bible,TRUE,2026-06-06,Matthias
Pedaiah,Pe·daiʹah,Pedaiah,"missing in Matthew, Z in 55",1 Chronicles 3:19,bible,TRUE,2026-06-06,Matthias
Abiud,A·biʹud,Abiud,after Zerubbabel (Sheshbazzar),Matthew 1:13,bible,TRUE,2026-06-06,Matthias
Eliakim,E·liʹa·kim,Eliakim,,Matthew 1:13,bible,TRUE,2026-06-06,Matthias
Azor,Aʹzor,Azor,,Matthew 1:13,bible,TRUE,2026-06-06,Matthias
Zadok,Zaʹdok,Zadok,,Matthew 1:14,bible,TRUE,2026-06-06,Matthias
Achim,Aʹchim,Achim,,Matthew 1:14,bible,TRUE,2026-06-06,Matthias
Eliud,E·liʹud,Eliud,,Matthew 1:14,bible,TRUE,2026-06-06,Matthias
Eleazar,El·e·aʹzar,Eleazar,,Matthew 1:15,bible,TRUE,2026-06-06,Matthias
